Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Dec 2025 12:52:46 AM

Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1950-2025,Percentage,Sum total years,Percentage of total
Iran,4,6,0 ,1,11,30,41,36,160,109,84,107,127,139,141,171,407,249,920,1377,1241,1783,1380,2055,2855,5210,4634,5692,3721,522,278,487,498,467,558,639,805,807,468,194,448,992,404,957,451,289,608,172,374,321,417,528,435,283,117,53,418,325,57,92,87,89,39,14,14,11,413,3,3,3,2,,,21,42,,46895,2.2%,46895,2.2%
Israel,53,97,73,70,2,120,754,132,140,221,164,88,279,368,415,447,460,229,926,1365,1172,1413,963,2149,1094,1102,1937,1257,1322,696,1253,1663,866,475,271,296,1178,1080,582,24,81,1210,1335,716,761,366,105,54,1286,1261,389,116,350,189,846,1107,1125,840,680,162,76,86,137,160,549,688,622,535,461,486,349,458,849,863,211,,46702,2.2%,46702,2.2%
Poland,195,590,804,1037,1980,1060,710,1105,1093,1031,884,855,676,995,1548,1138,980,745,866,940,804,930,855,1045,1066,965,788,928,1116,1131,1094,811,729,533,466,925,1389,1036,903,501,228,76,100,4,74,250,102,1,3,25,148,33,256,347,223,105,442,969,650,199,175,142,227,146,275,127,47,128,52,208,153,68,409,1334,1448,,46420,2.2%,46420,2.2%
Australia,464,367,406,151,125,637,463,460,549,422,116,150,461,383,542,920,707,770,560,708,230,313,63,716,898,108,91,278,1029,197,409,449,134,637,627,516,815,594,745,695,356,219,364,448,262,64,597,35,542,678,326,1215,638,765,447,456,716,616,430,807,1558,1584,788,216,849,1448,1015,1664,1555,1157,1632,1215,815,379,983,,45744,2.2%,45744,2.2%
Pakistan,161,169,145,95,145,215,179,529,353,323,42,69,88,181,85,214,592,151,415,557,422,553,664,162,225,223,276,270,655,696,900,491,544,784,863,751,280,617,412,974,635,511,352,992,862,368,506,691,699,867,175,412,566,645,471,431,324,694,1073,1194,2226,1141,1020,1106,856,759,853,872,894,656,620,978,1540,2393,982,,44834,2.1%,44834,2.1%
Taiwan,,98,304,383,308,622,252,380,718,921,472,108,146,320,347,478,326,477,304,588,588,352,245,329,372,344,484,792,779,522,513,778,789,723,434,648,961,586,646,352,466,651,475,1157,858,1318,1405,4746,3967,1736,592,342,291,112,316,695,503,13,11,36,71,173,411,614,1082,535,93,487,92,55,111,158,162,223,272,,43015,2.1%,43015,2.1%
Greece,97,500,306,84,152,203,88,348,453,315,272,92,340,108,641,499,214,375,107,306,305,581,689,246,428,912,1288,980,1281,734,660,951,462,403,366,189,202,36,561,1248,907,487,2146,892,1227,865,380,798,1718,837,714,794,409,2170,1098,406,719,1665,482,1228,630,70,19,28,204,728,302,51,39,93,92,231,441,404,623,,41917,2.0%,41917,2.0%
Syria,109,1,20,18,9,108,148,473,122,37,38,27,35,89,65,100,525,905,829,875,870,735,1517,3282,3410,1411,527,931,871,2045,1867,1349,1989,2241,1817,1581,1267,1409,1312,663,739,315,277,166,14,25,25,25,45,48,49,23,40,64,20,30,95,15,326,253,420,485,529,496,7,16,18,52,199,104,80,7,,,,,40633,1.9%,40633,1.9%
United Kingdom,101,246,535,1610,537,322,141,93,554,543,26,34,38,159,133,166,242,1444,2348,2701,70,176,222,239,319,337,251,262,191,232,557,812,766,292,682,355,273,207,281,209,120,940,1134,783,411,496,568,508,759,132,937,1287,721,776,215,31,375,829,564,370,451,346,555,509,217,424,288,1002,463,402,640,886,862,472,643,,38821,1.9%,38821,1.9%
Algeria,,,,,,,,,,,,7,63,90,181,354,439,525,58,79,14,14,180,110,13,56,130,1052,1267,1823,1337,1381,1352,700,659,368,146,367,319,455,737,1039,23,22,197,311,83,37,98,370,405,539,252,204,251,159,340,507,1510,1063,831,1133,662,361,715,897,2916,1138,1289,167,598,162,418,393,128,,33493,1.6%,33493,1.6%
Italy,148,230,889,1303,308,578,941,739,398,424,409,427,886,1217,1137,732,410,107,196,611,685,1104,1766,1019,1116,1016,711,517,682,591,468,129,241,303,273,205,198,183,179,196,153,202,184,201,195,327,280,519,56,25,278,241,245,580,452,143,384,467,159,94,98,286,189,71,127,237,734,709,275,178,201,211,237,485,432,,33326,1.6%,33326,1.6%
Canada,264,294,1025,1889,1248,1400,751,731,242,317,171,1576,1220,1012,742,563,306,237,336,516,623,457,376,78,229,195,53,90,130,193,442,454,277,649,654,848,849,787,712,37,157,767,407,196,473,405,419,353,111,144,530,520,419,141,341,106,97,478,423,104,242,356,207,202,316,408,246,354,185,187,248,346,203,76,149,,33285,1.6%,33285,1.6%
Netherlands,154,454,423,975,784,711,1146,683,453,146,302,321,382,719,907,745,199,758,286,566,699,698,662,21,40,96,285,606,717,792,645,755,1241,1331,1173,892,791,614,383,694,273,322,237,140,205,84,203,126,269,278,123,164,247,128,130,86,304,221,146,262,188,126,205,505,8,58,73,33,140,494,575,512,733,372,360,,32576,1.6%,32576,1.6%
UAE,,,,,,,,,,,,,,,,,,,13,13,69,24,26,88,100,153,283,304,217,18,201,427,160,163,310,144,132,191,42,663,561,237,205,582,571,426,481,690,757,437,246,183,221,676,1145,2072,1925,821,730,604,646,1217,1139,2302,734,1182,941,820,1055,703,651,538,714,948,932,,31834,1.5%,31834,1.5%
Libya,,,,,,,,3,,1,14,17,2,3,15,9,26,12,57,152,371,540,534,733,1767,1647,1858,3064,4222,3173,2951,3153,2749,1408,730,746,401,184,9,218,11,,,,,,,,,6,,,,,,1,16,16,16,22,37,8,73,118,,,2,,,33,0 ,,,34,5,,31163,1.5%,31163,1.5%
East Germany (GDR),26,,181,102,10,10,643,1096,945,593,402,205,764,767,1027,924,1341,1191,1258,835,833,574,992,1059,937,564,1320,1096,1141,969,899,818,1060,929,1152,1390,697,393,624,645,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30812,1.5%,30812,1.5%
Soviet Union,36,,,8,70,945,1538,1500,1500,975,692,175,174,237,463,485,585,577,543,578,523,525,795,583,957,771,800,876,803,842,767,804,671,725,914,1004,1422,1500,1654,1206,655,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30009,1.4%,30009,1.4%
Czechoslovakia,90,255,715,1615,1010,1062,573,203,562,840,534,663,543,585,573,692,690,754,868,846,743,1100,956,1058,1087,837,213,300,560,498,470,826,899,808,921,1164,815,669,593,875,280,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29400,1.4%,29400,1.4%
Viet Nam,,,,,10,19,9,60,26,59,103,95,47,107,266,651,1138,1103,1179,909,1214,1197,1317,1283,859,493,42,42,227,1249,1017,1073,532,916,557,28,78,50,65,128,116,,,,,273,214,111,209,168,11,97,58,22,299,221,42,8,186,61,161,1016,782,360,1225,869,924,783,604,161,33,245,96,55,58,,27610,1.3%,27610,1.3%
Spain,1,,,68,88,197,264,287,136,294,214,103,55,14,51,382,307,303,133,181,234,637,792,895,580,1185,831,318,441,659,688,630,507,604,81,327,1081,1082,1954,835,691,109,207,299,838,355,424,211,86,361,320,144,271,249,298,358,312,343,347,228,272,166,219,155,108,152,104,82,149,35,70,134,198,178,148,,26056,1.2%,26056,1.2%
North Korea,889,418,247,730,299,422,479,446,852,597,405,69,181,197,168,118,862,876,1323,624,649,1502,482,550,808,591,487,297,354,313,487,347,527,339,112,963,1075,813,818,561,340,251,183,146,79,184,118,54,54,54,63,73,54,35,8,5,5,5,5,4,1,,,,,,,,,,,,,,,,23992,1.1%,23992,1.1%
France,180,967,1150,1720,1770,1647,1521,743,1133,815,526,321,122,162,1300,378,106,98,123,64,44,57,33,51,46,45,186,194,231,107,70,106,142,108,73,20,100,84,133,107,65,948,424,96,80,97,64,223,171,105,98,61,38,55,93,2,68,75,2,72,103,41,86,104,17,36,38,84,201,104,225,105,133,120,188,,21204,1.0%,21204,1.0%
Singapore,,,,,,,6,,,,,,,,,1,8,,6,138,92,171,181,99,292,253,252,171,50,338,410,167,171,240,83,123,84,277,542,233,513,370,111,170,179,302,165,619,804,308,788,248,234,85,380,544,81,402,1115,1415,936,876,749,756,68,153,637,404,547,472,160,210,499,483,348,,20519,1.0%,20519,1.0%
Indonesia,195,58,14,6,16,25,42,16,687,574,448,780,1026,206,596,317,16,1,0 ,9,27,92,5,73,73,4,156,62,124,370,898,790,356,228,100,289,433,265,285,249,202,11,51,210,472,284,378,101,85,161,160,22,75,353,84,33,63,578,240,445,224,258,216,830,1197,438,351,1100,357,239,282,366,86,390,186,,20440,1.0%,20440,1.0%
Bulgaria,166,88,117,364,689,365,305,514,599,165,474,522,493,539,326,372,218,329,256,533,771,407,460,274,302,390,368,492,876,323,580,984,610,764,945,608,932,449,253,338,755,339,42,1,1,1,122,,,7,,,,2,13,132,22,48,117,119,8,29,5,,,4,,,,2,44,1,3,,,,20373,1.0%,20373,1.0%
Belgium,198,485,972,1098,604,345,673,670,887,179,92,132,188,575,652,521,116,39,220,240,514,499,492,580,113,130,184,187,411,789,575,516,433,580,575,287,91,91,407,203,314,125,48,73,47,16,3,50,55,58,36,30,48,21,15,3,15,171,191,86,35,23,29,45,97,52,4,7,1,9,90,255,170,12,515,,19289,0.9%,19289,0.9%
Romania,7,76,427,831,626,464,450,189,109,100,116,30,179,230,421,520,401,442,591,399,561,471,497,538,673,636,294,348,296,642,516,470,445,284,243,330,455,214,199,297,599,65,187,14,29,2,39,61,170,142,21,24,21,17,285,432,64,101,80,59,107,80,21,20,0 ,22,177,88,35,13,168,143,186,344,278,,19108,0.9%,19108,0.9%
Norway,110,123,426,421,19,163,281,144,149,119,153,93,60,227,260,368,759,685,289,534,154,86,68,63,55,49,35,27,24,47,254,435,457,441,337,122,141,192,308,600,435,321,253,180,93,77,151,158,152,150,229,99,90,9,6,14,557,596,603,571,150,607,147,51,16,143,142,353,520,394,435,522,700,200,349,,18751,0.9%,18751,0.9%
Brazil,,615,,133,112,379,55,134,120,130,236,212,62,127,25,149,57,218,236,108,217,171,520,598,256,539,571,545,872,394,355,61,72,87,119,83,135,230,125,741,136,160,98,64,306,266,547,476,198,308,86,573,221,110,85,223,178,188,178,135,256,239,317,225,212,216,117,100,265,132,140,244,469,185,435,,17887,0.9%,17887,0.9%
Yugoslavia,,182,490,525,534,334,352,229,112,279,265,178,346,416,294,335,351,384,515,436,362,349,376,257,291,746,642,711,596,935,783,603,774,836,323,363,343,362,676,326,307,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17657,0.8%,17657,0.8%
Qatar,,,,,,,,,,,,,,,,,,,2,3,6,16,,,,38,26,55,16,14,57,48,127,460,320,2,2,57,91,10,5,17,63,10,9,10,204,238,302,61,3,,,,,,,27,,286,30,190,335,82,55,490,596,291,637,2292,1175,2082,3373,2000,1152,,17364,0.8%,17364,0.8%
Afghanistan,,,,,,4,4,95,250,405,39,55,64,40,56,91,198,230,145,92,9,149,124,,,90,230,75,253,337,354,384,299,241,373,158,288,567,1005,1976,1690,1236,,,,,,,,,,,34,,,33,3,40,148,326,365,632,518,253,323,131,171,236,313,381,231,65,,,,,15809,0.8%,15809,0.8%
Kuwait,,,,0 ,5,1,,,2,,44,,10,48,65,25,8,,106,97,54,109,30,,5,77,230,485,504,223,35,13,173,287,490,619,167,50,7,134,326,515,896,694,36,637,1191,482,46,197,226,67,22,42,2,12,5,288,5,8,87,116,31,73,701,317,159,114,96,55,67,889,2245,497,503,,15748,0.8%,15748,0.8%
Thailand,62,91,45,25,70,49,10,88,15,10,28,52,108,106,93,87,58,140,88,124,250,243,147,319,114,90,154,111,199,314,330,350,82,254,350,185,162,539,623,284,235,575,429,182,608,530,741,910,62,160,80,116,152,131,138,115,99,8,16,63,60,251,276,377,105,183,342,321,636,294,141,151,251,291,73,,15551,0.7%,15551,0.7%
Hungary,56,52,13,832,729,222,1,59,259,336,604,580,295,376,747,667,150,287,271,449,24,239,123,394,554,495,378,394,660,485,388,147,183,176,307,229,80,77,42,68,15,22,,928,2,1,156,99,88,152,14,14,,,72,13,253,196,5,4,18,8,,2,7,,14,5,27,16,55,19,39,245,604,,15517,0.7%,15517,0.7%
Venezuela,59,,25,195,135,64,400,275,120,9,64,32,32,34,6,,69,204,20,8,15,130,165,395,252,230,170,216,59,14,361,908,698,241,234,517,92,73,105,120,189,318,72,37,1,5,37,39,8,85,108,106,44,15,9,21,380,767,738,366,211,600,693,995,180,124,95,,14,,79,,,98,,,13178,0.6%,13178,0.6%
Peru,2,24,85,17,111,35,175,117,30,175,191,96,14,24,18,52,65,26,188,96,35,157,198,476,561,555,373,933,748,641,697,858,271,320,361,215,250,611,241,10,104,108,130,43,175,47,121,373,51,94,18,10,16,22,47,368,193,172,,43,46,71,5,15,153,211,168,28,103,0 ,28,62,38,22,4,,13137,0.6%,13137,0.6%
Sweden,215,287,306,431,319,447,541,253,170,253,227,165,130,320,403,323,299,339,222,157,122,122,171,231,256,292,214,114,229,245,243,435,153,174,106,84,119,125,152,127,94,55,60,46,307,106,98,196,294,224,206,165,74,66,47,78,121,51,52,15,,185,202,54,43,24,70,32,7,7,3,122,318,98,66,,13099,0.6%,13099,0.6%
Morocco,,,,,,,28,14,10,13,22,37,93,16,16,82,159,149,93,41,80,1,,21,198,207,216,408,419,725,468,799,527,394,72,50,31,32,111,126,137,62,17,98,117,28,89,220,,60,127,11,155,12,14,101,47,27,46,39,335,1289,1017,62,572,47,287,605,462,48,16,51,509,472,23,,12855,0.6%,12855,0.6%
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,5,4,67,31,18,44,2930,4291,5230,,12643,0.6%,12643,0.6%
Argentina,85,445,38,4,5,0 ,39,13,69,161,111,205,47,29,19,7,93,143,430,230,257,363,402,248,450,268,499,204,434,451,446,833,406,1309,724,485,219,217,71,6,159,,27,,209,43,21,105,171,276,208,6,15,11,161,3,9,24,21,15,11,16,5,13,6,21,17,47,19,51,7,77,50,21,43,,12350,0.6%,12350,0.6%
South Africa,37,73,181,51,47,105,253,207,169,68,13,,232,518,301,386,496,299,216,211,510,309,291,369,177,235,419,500,389,125,192,122,44,214,122,25,191,20,17,11,11,26,361,244,239,38,38,11,,21,6,18,,,,262,741,914,493,134,178,208,127,1,50,2,,,,,,,30,30,,,12328,0.6%,12328,0.6%
Chile,1,247,26,10,42,5,66,32,50,20,308,38,19,123,34,49,74,150,70,21,57,198,51,278,292,184,415,58,157,138,147,147,343,140,538,8,171,154,84,133,135,104,170,85,82,331,164,282,88,206,230,60,74,187,64,446,1097,659,395,329,474,326,61,55,135,135,70,49,74,16,304,66,207,9,14,,12259,0.6%,12259,0.6%
Denmark,95,72,362,649,165,172,159,155,110,203,138,335,64,145,491,455,66,72,77,19,212,384,156,,39,89,389,391,360,55,480,477,470,231,70,88,16,99,98,187,128,154,72,51,88,134,75,77,116,70,50,146,40,50,232,116,84,133,97,134,22,6,103,34,176,42,103,53,53,48,63,261,210,274,427,,12214,0.6%,12214,0.6%
Switzerland,147,144,303,157,130,218,301,211,220,289,218,37,4,52,263,228,373,177,199,166,142,153,191,121,64,136,142,4,217,226,272,289,175,442,404,341,108,151,179,318,438,474,386,102,118,93,187,377,431,502,18,63,60,117,203,168,83,108,15,36,42,28,6,2,5,10,71,1,,,,,15,33,,,12106,0.6%,12106,0.6%
Cuba,,8,12,13,20,3,35,11,23,10,153,524,1337,288,252,135,232,163,155,155,155,162,452,420,408,200,316,609,503,410,349,964,964,778,426,352,281,75,167,94,169,159,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,11947,0.6%,11947,0.6%
Jordan,0 ,,7,0 ,6,13,30,,44,4,53,26,66,39,33,55,92,126,48,163,161,90,87,56,132,372,362,447,576,279,384,401,1061,634,629,292,206,137,247,74,16,24,,1,5,19,75,77,248,63,139,160,132,281,169,79,52,183,160,233,90,214,175,75,197,231,243,363,170,213,157,67,41,16,24,,11827,0.6%,11827,0.6%
Malaysia,,,,,,,,,13,18,5,2,31,75,97,10,58,128,91,79,25,195,109,229,74,85,394,146,72,310,127,56,25,275,543,405,141,5,14,37,,33,13,13,308,828,32,553,39,721,26,26,153,190,69,58,184,498,493,1284,212,4,18,79,75,118,271,195,93,68,52,133,71,7,,,10788,0.5%,10788,0.5%
Portugal,19,21,120,284,373,165,90,153,99,48,31,157,28,41,45,63,241,283,373,338,370,266,16,16,117,326,64,94,130,5,36,57,184,12,109,154,5,9,90,149,70,1012,19,350,453,20,9,2,16,3,3,19,,29,70,158,220,60,145,371,891,170,42,11,3,1,21,8,19,44,45,6,,67,61,,9595,0.5%,9595,0.5%
Finland,,,18,,,11,15,3,25,41,54,52,48,252,103,81,42,76,23,21,15,4,26,13,172,129,74,12,105,47,328,118,132,112,127,203,98,66,141,86,88,65,442,406,234,195,552,397,560,768,472,7,15,242,67,93,132,140,134,37,44,60,87,254,182,268,112,47,82,86,114,38,30,37,64,,9420,0.5%,9420,0.5%
Angola,,,,,,,,,,,,,,,,,,,,,,,,,1,232,192,105,146,111,153,243,381,579,483,535,710,1193,971,152,140,,,123,113,1,44,7,150,360,149,157,148,48,8,38,7,35,29,20,,,,31,2,51,154,112,273,170,51,,46,15,16,,8687,0.4%,8687,0.4%
Ethiopia,2,19,,6,8,1,1,16,19,6,24,4,21,27,4,14,99,31,34,24,89,54,53,5,16,60,135,1116,965,113,330,328,516,353,273,268,348,239,155,47,2,80,,,,,,69,208,152,114,,20,174,239,,,,,,58,76,193,154,33,10,55,51,12,74,25,16,45,2,48,,7732,0.4%,7732,0.4%
South Vietnam,,,,0 ,45,87,121,28,20,20,43,111,165,132,85,131,199,261,308,590,656,978,2551,629,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7511,0.4%,7511,0.4%
Myanmar,4,0 ,0 ,16,39,47,30,53,61,29,6,17,14,27,18,19,3,13,6,22,4,28,4,,,53,10,9,25,19,40,,38,,,,9,,,34,278,239,31,331,97,224,115,231,156,141,16,153,156,100,192,179,206,153,80,65,62,668,398,250,110,257,281,207,200,204,217,67,229,128,222,,7341,0.4%,7341,0.4%
Bangladesh,,,,,,,,,,,,,,,,,,,,,,10,2,76,44,39,70,62,45,1,55,72,128,109,9,112,4,1,242,302,199,79,113,49,61,123,7,26,1,184,200,274,37,8,32,10,221,80,12,,36,117,183,648,207,640,451,334,161,716,70,55,323,69,75,,7182,0.3%,7182,0.3%
Oman,,,,,,,,,,1,1,,,1,1,1,2,7,5,36,26,62,11,71,67,181,150,250,81,43,12,72,180,358,120,88,49,40,19,117,60,,,55,145,278,285,157,22,,121,33,40,37,49,178,296,12,72,95,31,21,127,492,719,152,422,757,282,88,85,4,5,4,,,7174,0.3%,7174,0.3%
NATO**,,,,,,,,26,26,26,26,22,5,,,,,7,14,14,14,,,,,,,,,,,,1250,1250,1250,802,,,18,36,,,,,,,,,,18,,18,,,,,116,,,420,,,22,,,,12,25,21,70,465,240,240,,120,,6570,0.3%,6570,0.3%
Colombia,3,8,15,12,31,11,43,15,298,1,5,66,6,32,9,18,32,15,32,121,8,40,171,163,5,291,10,8,12,36,12,28,18,299,659,7,6,4,37,218,13,72,36,68,42,35,49,193,160,44,68,268,173,145,18,18,54,237,110,263,259,145,212,174,167,193,18,91,16,22,80,45,50,3,19,,6363,0.3%,6363,0.3%
Nigeria,,,,,,,,,,5,,1,8,9,2,56,159,47,50,39,14,12,113,7,24,424,104,90,142,108,474,331,642,41,359,569,211,115,62,15,18,4,59,41,95,2,15,1,,,36,9,6,66,11,,16,62,33,65,223,63,28,30,232,188,61,41,49,18,85,283,54,93,67,,6284,0.3%,6284,0.3%
Mexico,,7,,12,,,,,16,2,20,30,109,60,38,11,22,15,,,82,48,15,158,61,104,69,39,74,68,75,115,343,116,,8,143,154,103,63,32,40,19,160,136,55,92,495,19,136,215,149,97,20,321,33,78,,23,59,109,225,260,52,89,322,327,215,16,,242,3,,4,46,,6267,0.3%,6267,0.3%
Philippines,,2,1,32,22,28,39,42,37,64,50,44,11,4,2,102,86,43,16,26,9,90,52,106,60,133,256,198,143,92,75,39,17,117,39,23,,26,12,19,33,34,43,62,72,28,41,70,64,,,10,5,10,34,12,23,16,10,1,3,63,21,83,12,153,228,278,17,191,350,331,280,125,238,,5095,0.2%,5095,0.2%
New Zealand,41,70,147,12,,35,147,90,58,,119,111,8,5,,10,406,4,56,,168,133,23,23,10,51,7,34,,,,31,62,100,41,8,29,5,61,26,23,42,54,36,16,7,7,309,15,305,,45,17,154,187,,6,81,3,56,78,28,30,26,84,89,,,6,3,146,36,171,405,200,,4794,0.2%,4794,0.2%
Sudan,,,,,,,,2,5,4,9,15,19,8,36,5,10,7,16,177,598,87,69,23,3,,,26,208,4,3,209,90,25,106,66,9,122,77,16,4,46,6,,,3,27,63,,36,,106,50,205,294,113,112,43,105,88,184,176,118,151,66,134,109,65,33,18,,,3,6,2,,4417,0.2%,4417,0.2%
Ecuador,,,,10,14,124,6,,13,,66,,,3,3,29,9,21,5,1,5,85,41,15,22,42,226,582,224,110,289,122,295,360,321,23,28,26,26,20,3,136,4,18,17,45,29,103,31,27,9,41,1,,,39,47,2,102,77,90,69,88,11,56,27,26,20,5,3,21,15,9,7,25,,4366,0.2%,4366,0.2%
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,,,,,,3,,89,,4,59,161,213,34,146,162,568,388,391,635,340,276,291,369,44,51,,20,3,28,,4348,0.2%,4348,0.2%
Bahrain,,,,,,,,,,,,,,,,,,,,,,0 ,7,0 ,1,,,2,12,10,22,40,55,10,129,55,133,249,135,66,362,68,42,1,8,71,51,197,8,,299,28,54,1,10,66,63,27,21,,98,4,24,69,1,17,26,27,72,21,27,184,261,294,848,,4275,0.2%,4275,0.2%
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,64,,72,121,139,22,,49,44,46,83,28,43,59,63,96,143,83,446,252,216,275,228,268,195,191,125,550,,4003,0.2%,4003,0.2%
